recorded_at,symbol,market,signal_date,close,status,status_rank,setup,regime,wyckoff,trigger,direction,zs_zd,zs_zg,entry_price,sl,tp1,tp2,name,sector,notes,engine_version,previous_status,current_status,change_type
2026-09-01T01:21:44.141168+00:00,WMB,SP500,2026-08-31,75.05000305175781,WATCH,1,NONE,Bear Trend,Neutral,Waiting,,72.76,75.88,,,,,Williams Companies,Energy,,1.8.5-source-port,NONE,WATCH,NEW_WATCH
2026-09-01T01:21:44.141168+00:00,WMT,SP500,2026-08-31,104.87000274658203,WATCH,1,NONE,Bear Trend,Neutral,Waiting,,112.46,113.02,,,,,Walmart,Consumer Staples,,1.8.5-source-port,NONE,WATCH,NEW_WATCH
2026-09-01T01:21:44.141168+00:00,WRB,SP500,2026-08-31,67.55999755859375,WATCH,1,NONE,Bear Trend,Neutral,Bear Micro BOS,,69.31,71.38,,,,,W. R. Berkley Corporation,Financials,,1.8.5-source-port,NONE,WATCH,NEW_WATCH
2026-09-01T01:21:44.141168+00:00,WTW,SP500,2026-08-31,338.54998779296875,WATCH,1,NONE,Bull Trend,Neutral,Waiting,,325.66,345.52,,,,,Willis Towers Watson,Financials,,1.8.5-source-port,NONE,WATCH,NEW_WATCH
2026-09-01T01:21:44.141168+00:00,XYL,SP500,2026-08-31,110.11000061035156,WATCH,1,NONE,Bear Trend,Neutral,Bear Micro BOS,,114.38,115.24,,,,,Xylem Inc.,Industrials,,1.8.5-source-port,NONE,WATCH,NEW_WATCH
2026-09-01T01:21:44.141168+00:00,XYZ,SP500,2026-08-31,82.0199966430664,WATCH,1,NONE,Bull Trend,Neutral,Waiting,,77.23,77.62,,,,,"Block, Inc.",Financials,,1.8.5-source-port,NONE,WATCH,NEW_WATCH
2026-09-01T01:21:44.141168+00:00,YUM,SP500,2026-08-31,153.30999755859375,WATCH,1,NONE,Bear Trend,Neutral,Waiting,,150.77,151.41,,,,,Yum! Brands,Consumer Discretionary,,1.8.5-source-port,NONE,WATCH,NEW_WATCH
2026-09-01T01:21:44.141168+00:00,ZBRA,SP500,2026-08-31,353.54998779296875,WATCH,1,NONE,Bearish Zhongshu,Neutral,Waiting,,350.36,367.18,,,,,Zebra Technologies,Information Technology,,1.8.5-source-port,NONE,WATCH,NEW_WATCH
2026-09-01T14:02:17.319699+00:00,600309,HS300,2026-09-01,77.02,ENTRY,3,3B,Bullish Zhongshu,Neutral,Bull Micro BOS,LONG,72.48,75.43,77.02,75.38,80.31,81.95,万华化学,nan,,1.8.5-source-port,READY,ENTRY,READY_TO_ENTRY
2026-09-01T14:02:17.319699+00:00,601288,HS300,2026-09-01,7.05,ENTRY,3,3B,Bullish Zhongshu,Neutral,Bull Micro BOS,LONG,6.41,6.85,7.05,6.84,7.46,7.67,农业银行,nan,,1.8.5-source-port,READY,ENTRY,READY_TO_ENTRY
2026-09-01T14:02:17.319699+00:00,000425,HS300,2026-09-01,8.24,ENTRY,3,BRK,Bullish Zhongshu,Neutral,Bull Micro BOS,LONG,7.82,8.12,8.24,7.95,8.82,9.11,徐工机械,nan,,1.8.5-source-port,WATCH,ENTRY,WATCH_TO_ENTRY
2026-09-01T14:02:17.319699+00:00,302132,HS300,2026-09-01,60.76,ENTRY,3,BRK,Bullish Zhongshu,Neutral,Bull Micro BOS,LONG,56.85,59.6,60.76,58.81,64.66,66.61,中航成飞,nan,,1.8.5-source-port,WATCH,ENTRY,WATCH_TO_ENTRY
2026-09-01T14:02:17.319699+00:00,600000,HS300,2026-09-01,9.35,ENTRY,3,BRK,Bullish Zhongshu,Neutral,Bull Micro BOS,LONG,9.14,9.28,9.35,9.05,9.94,10.24,浦发银行,nan,,1.8.5-source-port,READY,ENTRY,READY_TO_ENTRY
2026-09-01T14:02:17.319699+00:00,600018,HS300,2026-09-01,5.55,ENTRY,3,BRK,Bullish Zhongshu,Neutral,Bull Micro BOS,LONG,5.05,5.29,5.55,5.22,6.21,6.54,上港集团,nan,,1.8.5-source-port,WATCH,ENTRY,WATCH_TO_ENTRY
2026-09-01T14:02:17.319699+00:00,600741,HS300,2026-09-01,15.72,ENTRY,3,BRK,Bullish Zhongshu,Neutral,Bull Micro BOS,LONG,15.18,15.55,15.72,15.34,16.48,16.86,华域汽车,nan,,1.8.5-source-port,READY,ENTRY,READY_TO_ENTRY
2026-09-01T14:02:17.319699+00:00,600926,HS300,2026-09-01,17.07,ENTRY,3,BRK,Bull Trend,Neutral,Bull Micro BOS,LONG,16.53,16.54,17.07,16.47,18.27,18.88,杭州银行,nan,,1.8.5-source-port,READY,ENTRY,READY_TO_ENTRY
2026-09-01T14:02:17.319699+00:00,601318,HS300,2026-09-01,57.23,ENTRY,3,BRK,Bull Trend,Neutral,Bull Micro BOS,LONG,51.17,55.8,57.23,55.15,61.38,63.46,中国平安,nan,,1.8.5-source-port,WATCH,ENTRY,WATCH_TO_ENTRY
2026-09-01T14:02:17.319699+00:00,601601,HS300,2026-09-01,33.07,ENTRY,3,BRK,Bullish Zhongshu,Neutral,Bull Micro BOS,LONG,31.8,32.17,33.07,31.56,36.09,37.61,中国太保,nan,,1.8.5-source-port,READY,ENTRY,READY_TO_ENTRY
2026-09-01T14:02:17.319699+00:00,600066,HS300,2026-09-01,30.54,READY,2,3B,Bullish Zhongshu,Neutral,Waiting,LONG,29.58,30.24,,,,,宇通客车,nan,,1.8.5-source-port,WATCH,READY,WATCH_TO_READY
2026-09-01T14:02:17.319699+00:00,600183,HS300,2026-09-01,144.42,READY,2,3B,Bullish Zhongshu,Neutral,Waiting,LONG,126.0,143.48,,,,,生益科技,nan,,1.8.5-source-port,ENTRY,READY,ENTRY_TO_READY
2026-09-01T14:02:17.319699+00:00,600958,HS300,2026-09-01,9.25,READY,2,3B,Bullish Zhongshu,Neutral,Waiting,LONG,9.0,9.2,,,,,东方证券,nan,,1.8.5-source-port,WATCH,READY,WATCH_TO_READY
2026-09-01T14:02:17.319699+00:00,601878,HS300,2026-09-01,9.48,READY,2,3B,Bear Trend,Neutral,Waiting,LONG,9.28,9.39,,,,,浙商证券,nan,,1.8.5-source-port,NONE,READY,NEW_READY
2026-09-01T14:02:17.319699+00:00,002558,HS300,2026-09-01,26.95,READY,2,2S,Neutral Zhongshu,Neutral,Waiting,SHORT,25.74,27.72,,,,,巨人网络,nan,,1.8.5-source-port,WATCH,READY,WATCH_TO_READY
2026-09-01T14:02:17.319699+00:00,300033,HS300,2026-09-01,227.03,READY,2,2S,Bull Trend,Neutral,Waiting,SHORT,230.41,231.45,,,,,同花顺,nan,,1.8.5-source-port,WATCH,READY,WATCH_TO_READY
